  NO       S1       S2            SCORE
   1        2        6       724.270859
   2       14       23       724.270859
   3       45       62       724.270859
   4        8       15       718.197709
   5        4       12       718.197709
   6       28       30       712.124560
   7       20       25       712.124560
   8       34       40       706.051410
   9       39       50       699.978260
  10       45       60       698.765091
  11       60       62       698.765091
  12       67       75       698.765091
  13     1938     5761       333.214063
  14     2621     2948       331.993591
  15     3961     8910       330.780421
  16     2422     6264       325.920441
  17     3431     4292       324.714575
  18      557     7190       324.714575
  19     4284     6449       324.714575
  20     7841     8839       324.707272
